billing_id,matter_id,substantiating_entry_id_1,substantiating_entry_id_2,substantiating_entry_id_3,substantiating_entry_id_4,substantiating_entry_id_5,billing_category,billing_start,billing_stop,billing_hours,billing_description,billing_substantiation,last_modified,activity_confidence,timing_confidence,confidence_rationale
1,1,18,,,,,Phone Call,2024-12-17 14:00:00,2024-12-17 14:30:00,0.5,Telephone conference with parent regarding transportation issues,,2025-05-01 19:41:45,conclusive,conclusive,
2,1,46,,,,,Review Documents,2024-12-09 09:30:00,2024-12-09 09:40:00,0.2,Review scanned document notification,,2025-05-01 19:41:45,conclusive,conclusive,
3,1,133,,,,,Draft Documents,2024-10-08 09:30:00,2024-10-08 11:30:00,2,Draft and send detailed IEE requirements email,,2025-05-01 19:41:45,conclusive,conclusive,
4,1,268,,,,,Conference With Attorney,2024-06-12 13:00:00,2024-06-12 14:00:00,1,Attend meeting to discuss independent evaluators,,2025-05-01 19:41:45,conclusive,conclusive,
5,1,327,,,,,Draft Documents,2024-12-17 20:40:00,2024-12-17 20:50:00,0.2,Draft and send urgent follow-up regarding transportation arrangements,,2025-05-01 19:41:45,conclusive,conclusive,
6,1,328,,,,,Draft Documents,2024-12-17 19:45:00,2024-12-17 20:05:00,0.3,Draft and send detailed explanation of transportation barriers and request for immediate District solution,,2025-05-01 19:41:45,conclusive,conclusive,
7,1,330,,,,,Draft Documents,2024-12-17 19:10:00,2024-12-17 19:20:00,0.2,Draft and send email regarding afternoon transportation arrangements,,2025-05-01 19:41:45,conclusive,conclusive,
8,1,331,,,,,Review Documents,2024-12-17 19:00:00,2024-12-17 19:10:00,0.1,Review district transportation plan and reimbursement offer,,2025-05-01 19:41:45,conclusive,conclusive,
9,1,332,,,,,Draft Documents,2024-12-17 18:15:00,2024-12-17 18:45:00,0.5,Draft and send detailed letter regarding settlement implementation failures and notice of potential motion,,2025-05-01 19:41:45,conclusive,conclusive,
10,1,333,,,,,Review Documents,2024-12-17 12:42:00,2024-12-17 12:47:00,0.1,Review ETL request for ROI documentation,,2025-05-01 19:41:45,conclusive,conclusive,
11,1,334,,,,,Draft Documents,2024-12-17 12:25:00,2024-12-17 12:30:00,0.1,Forward transportation concerns to team members,,2025-05-01 19:41:45,conclusive,conclusive,
12,1,335,,,,,Draft Documents,2024-12-17 12:00:00,2024-12-17 12:25:00,0.4,Draft and send urgent transportation concerns email,,2025-05-01 19:41:45,conclusive,conclusive,
