billing_id,matter_id,substantiating_entry_id_1,substantiating_entry_id_2,substantiating_entry_id_3,substantiating_entry_id_4,substantiating_entry_id_5,billing_category,billing_start,billing_stop,billing_hours,billing_description,billing_substantiation,last_modified,activity_confidence,timing_confidence,confidence_rationale,
621,1,621,,,,,Email,3/29/2024 14:48,3/29/2024 14:48,0,Old case/New case,Attorney Szostkiewicz updates on pending motion for GAL appointment and mentions potential new case referral,,,,,
620,1,620,,,,,Email,3/29/2024 17:29,3/29/2024 17:29,0,RE: Old case/New case,Response confirming willingness to take on new case referral,,,,,
619,1,619,,,,,Email,4/2/2024 12:27,4/2/2024 12:27,0,Bullying case,Attorney Szostkiewicz informs of denied GAL motion and proposes alternative consultant appointment,,,,,
618,1,618,,,,,Email,4/2/2024 13:28,4/2/2024 13:28,0,Re: Bullying case,Discussion of appointment denial and request for student records,,,,,
617,1,617,,,,,Email,4/4/2024 14:03,4/4/2024 14:03,0,H Sampson,Initial outreach to school detailing bullying concerns and requesting meeting and records,,,,,
616,1,616,,,,,Email,4/6/2024 21:54,4/6/2024 21:54,0,Re: H Sampson,Offer to assist pro bono if second motion denied,,,,,
615,1,615,,,,,Email,4/7/2024 16:39,4/7/2024 16:39,0,"Re: H Sampson / bullying, special ed referral, Sec. 504 preplacement meeting",Comprehensive email making formal special education referral and requesting immediate safety interventions,,,,,
614,1,614,,,,,Email,4/8/2024 9:07,4/8/2024 9:07,0,"Re: H Sampson / bullying, special ed referral, Sec. 504 preplacement meeting",Confirmation of school CRA filing and praise for advocacy email,,,,,
613,1,613,,,,,Email,4/8/2024 13:58,4/8/2024 13:58,0,"RE: H Sampson / bullying, special ed referral, Sec. 504 preplacement meeting",Initial response from school requesting release form,,,,,
612,1,612,,,,,Email,4/8/2024 14:01,4/8/2024 14:01,0,RE: H Sampson,Principal's acknowledgment of prior counselor contact and request for release,,,,,
611,1,611,,,,,Email,4/9/2024 11:47,4/9/2024 11:47,0,Sampson CRA,Attorney forwards CRA documentation and confirms release form completion,,,,,
