Date,Activity Type,Hours,Amount,Note, , 
12/16/2024,Other,1.4,$123.20 ,"(1) Draft and send email to school regarding student's status, evaluation request, and IEP meeting request - 0.3 hrs (2) Review email from school questioning appointment documentation - 0.1 hrs; (3) Review email from school regarding evaluation funding scope - 0 hrs (4) Draft and send email regarding hearing withdrawal and transition planning concerns - 0.3 hrs (5) Review email from opposing counsel regarding hearing withdraw 0.2 (6) Draft and send comprehensive email requesting transition planning details - 0.4 hrs (7) Review email confirming start date - 0.1 hrs",,
12/12/2024,Other,0.9,$79.20 ,(1) Draft and send email regarding hearing withdrawal and transition planning concerns - 0.3 hrs (2) Review email from opposing counsel regarding hearing withdrawal - 0.1 hrs (3) Draft and send comprehensive email requesting transition planning details - 0.4 hrs (4) Review email confirming start date - 0.1 hrs,,
12/11/2024,Other,0.3,$26.40 ,(1) Draft and send follow-up email regarding start date and hearing withdrawal - 0.3 hrs,,
12/10/2024,Other,0.1,$8.80 ,(1) Forward relevant communications to client - 0.1 hrs,,
12/9/2024,Review Documents,0.6,$52.80 ,12/9/2024 (1) Review signed agreement and send inquiry about logistics - 0.2 hrs; (2) Review and transmit executed settlement agreement - 0.3 hrs; (5) Review and respond regarding settlement agreement - 0.1 hrs,,
12/9/2024,Conference With Attorney,0.7,$61.60 ,12/9/2024 (3) Conference call with opposing counsel regarding settlement agreement - 0.5 hrs; (4) Draft and send request for client signature - 0.2 hrs,,
12/5/2024,Other,1.5,$132.00 ,(1) Review scheduling confirmation - 0.1 hrs; (2) Review and respond to scheduling request - 0.1 hrs; (3) Draft and send procedural suggestion email - 0.2 hrs; (4) Draft and send comprehensive response regarding delays and timeline - 0.6 hrs; (5) Review district's concerns about service implementation - 0.2 hrs; (6) Review opposing counsel's response regarding edits and hearing - 0.3 hrs,,
12/4/2024,Review Documents,1,$88.00 ,"(1) Review documents, make necessary corrections, draft explanation and transmit signed documents - 1 hrs",,
12/3/2024,Other,0.2,$17.60 ,(1) Draft and send request for missing signature page - 0.2 hrs; 12/3/2024 Total - 0.2 hrs,,
11/26/2024,Other,0.9,$79.20 ,(1) Review approved motion and confirmation - 0.2 hrs; (2) Review client update regarding school incident - 0.3 hrs; (3) Prepare and send final documents to client for signature - 0.4 hrs,,
